Country,Youth Unemp. (%),Literacy Rate (%),Edu. Spend (% GDP),Internet Access (%),Student-Teacher Ratio
Afghanistan,29.76,37.27,4.3,57.85,48.79
Albania,29.76,97.68,2.7,57.85,17.57
Algeria,29.76,75.14,5.6,57.85,24.32
Andorra,15.95,97.34,1.9,100,10.5
Angola,15.95,66.24,2.3,2.7,50.03
Anguilla,15.95,66.24,2.3,100,50.03
Antigua and Barbuda,15.95,98.95,3.6,90,12.41
Argentina,15.95,99.14,4.8,55.72,17.23
Armenia,39.55,99.84,0.2,100,15.42
Aruba,39.55,96.82,4.4,100,14.79
Australia,39.55,96.82,5.2,100,17.88
Austria,9.92,96.82,4.8,100,10.02
Azerbaijan,13.9,99.78,3.6,68.03,15.43
Bahamas,13.9,99.78,2.8,68.03,15.43
Bahrain,13.9,97.82,2,100,11.92
Bangladesh,13.9,79,1.8,49.3,30.05
Barbados,13.9,99.27,4,49.3,13.99
Belarus,10.68,99.87,5,99.9,19.23
Belgium,19.17,99.87,6.4,100,11.28
Belize,19.17,87.88,4.3,100,19.78
Benin,19.17,51.38,3.4,100,39.2
Bermuda,19.17,51.38,1.9,100,10.42
Bhutan,19.17,64.91,5.8,66.13,34.67
Bolivia,19.17,95.55,7.6,7.52,17.8
Bosnia,51.51,96.99,4.1,7.52,16.93
Botswana,51.51,81.19,8.1,7.52,23.71
Brazil,51.51,94.8,8.1,59.81,20.22
British Virgin Islands,51.51,94.8,2.5,65.62,11.62
Brunei,51.51,94.8,4.4,65.62,11.62
Bulgaria,17.56,98.35,4.7,65.62,15.21
Burkina Faso,17.56,41.44,5.3,0.23,39.72
Burundi,17.56,71.41,4.8,0,42.52
Cabo Verde,17.56,88.47,4.8,0,21.07
Cambodia,17.56,71.93,3,4.6,41.7
Cameroon,17.56,72.55,2.6,4.6,44.83
Canada,13.34,72.55,4.1,4.6,17.42
Cayman Islands,13.34,98.87,1.5,100,15.75
Chad,13.34,30.63,2.5,0,56.89
Channel Islands,13.34,30.63,2.5,0,56.89
Chile,13.34,96.4,5,34.35,17.79
China,13.34,96.74,4,98.68,16.43
Colombia,13.34,95.34,3.7,47.17,23.3
Comoros,13.34,75.83,2.4,8.03,28.06
Costa Rica,13.34,97.41,6.2,86.29,12.2
Croatia,28.97,98.15,4.1,86.29,13.51
Cuba,28.97,97.65,9.4,34.94,9.16
Curacao,28.97,97.65,5.1,34.94,9.16
Cyprus,20.28,98.68,5.2,34.94,12.04
Czechia,12.42,98.68,5.2,98.71,18.93
DR Congo,12.42,98.68,3,98.71,18.93
Democratic Republic of Congo,12.42,98.68,3,0,18.93
Denmark,12.01,98.68,5.3,100,10.74
Dominica,12.01,98.68,4.7,100,13.08
Dominican Republic,12.01,94.03,3.9,52.55,18.92
Ecuador,12.01,96.26,3.9,55.56,24.26
Egypt,12.01,96.26,3.9,71.28,24.26
El Salvador,12.01,89.77,3.2,94.37,26.89
Eritrea,12.01,64.66,2.1,94.37,38.74
Estonia,17.07,99.89,5.3,100,11.31
Eswatini,17.07,90.75,6.3,63.11,26.6
Ethiopia,17.07,60.46,3.7,63.11,55.07
Faroe Islands,17.07,99.02,3.7,95.91,13.3
Fiji,17.07,99.02,4.2,95.91,28
Finland,18.94,99.02,6.5,100,13.67
France,21.1,67.58,5.4,89,18.18
Gabon,21.1,88.86,2.2,89,24.53
Gambia,21.1,88.86,2.7,89,24.53
Georgia,35.74,99.68,3.7,100,8.98
Germany,8.52,99.68,4.5,100,12.3
Ghana,8.52,76.49,4.5,100,26.99
Gibraltar,8.52,76.49,4.5,100,14.17
Greece,36.58,93.91,4.1,100,9.38
Greenland,36.58,93.91,4.1,100,9.38
Grenada,36.58,97.79,3.9,100,16.35
Guam,36.58,99.37,3.9,100,20.02
Guatemala,36.58,82.11,3.2,29.72,20.26
Guinea,36.58,39.62,2,0,47.15
Guyana,36.58,85.64,4.5,0,23.16
Haiti,36.58,68.01,1.3,0,33.41
Honduras,36.58,88.25,4,24.71,25.6
Hong Kong,36.58,88.25,3.8,100,25.6
Hungary,17.88,98.86,4.7,100,10.77
Iceland,9.9,70.05,7.1,100,10.14
India,9.9,81.7,4.1,38.91,32.75
Indonesia,9.9,96,1.3,84.08,17.03
Iran,9.9,96,2.9,10.55,17.03
Iraq,9.9,84.06,2.9,10.55,16.96
Ireland,17.1,84.06,3,10.55,16.06
Italy,29.41,99.35,4.2,70,11.48
Ivory Coast,29.41,99.35,3.4,70,11.48
Jamaica,29.41,79.92,5.7,78.83,24.79
Japan,29.41,79.92,3.2,78.83,15.66
Jordan,29.41,94.85,3.2,31.56,18.54
Kazakhstan,5.71,99.73,4.2,31.56,17.21
Kenya,5.71,82.23,4,31.56,30.65
Kiribati,5.71,98.63,14.2,2.06,25.49
Kosovo,5.71,97.97,14.2,2.06,16.29
Kuwait,5.71,96.46,5,100,8.88
Kyrgyz Republic,5.71,99.24,5,100,24.99
Kyrgyzstan,14.46,99.24,6.8,41.37,24.99
Laos,14.46,75.64,1.2,41.37,22.34
Latvia,18.54,99.9,4.6,100,11.54
Lebanon,18.54,92.01,1.7,93.4,12.48
Liberia,18.54,59.4,2.3,93.4,22.32
Libya,18.54,60.16,2.3,93.4,16.9
Liechtenstein,4.38,60.16,2.6,93.4,7.8
Lithuania,17.81,99.82,4.3,95,13.52
Luxembourg,17.45,78.28,4.7,100,8.3
Macao,17.45,78.28,4.7,100,8.3
Macau,17.45,96.54,6.2,100,13.5
Madagascar,17.45,74.69,3.1,0.12,39.81
Malawi,17.45,70.15,3.3,0.12,58.68
Malaysia,17.45,95.77,3.6,99.96,11.66
Maldives,17.45,98.21,5.2,98.58,10.16
Mali,17.45,35.47,4,98.58,37.83
Malta,11.86,93.31,5.4,98.58,12.94
Marshall Islands,11.86,95.83,7.5,0,16.94
Mauritania,11.86,59.53,2.6,0,34.28
Mauritius,11.86,94.33,4.6,100,16.2
Mexico,11.86,95.77,4.2,29.61,26.55
Micronesia,11.86,95.77,10.5,29.61,26.55
Moldova,11.86,99.36,6.3,96.96,17.92
Monaco,11.86,99.36,1.2,100,11.7
Mongolia,11.86,98.64,3.7,70.66,30.38
Montenegro,38.65,98.53,3.7,70.66,30.38
Montserrat,38.65,98.53,3.7,100,30.38
Morocco,38.65,64.26,6,78.98,26.8
Mozambique,38.65,61.68,6.2,78.98,55.27
Myanmar,38.65,93.55,2,0.23,24.36
Namibia,38.65,87.64,9,52.52,25.09
Nauru,38.65,96.59,7.8,0,40.18
Nepal,38.65,68.71,3.7,13.2,19.74
Netherlands,9.83,68.71,5.1,100,11.81
New Caledonia,9.83,96.14,5.1,100,20.37
New Zealand,9.83,96.14,5.2,100,14.92
Nicaragua,9.83,87.35,3.8,3.47,30.22
Niger,9.83,35.61,4.1,1.83,36.34
Nigeria,9.83,70.41,0.3,1.83,37.55
Niue,9.83,70.41,0.3,100,37.55
North Macedonia,51.15,96.13,3.3,100,14.91
Norway,9.8,96.13,4,100,8.59
Oman,9.8,97.34,4.2,99.26,9.67
Pakistan,9.8,58.86,1.9,99.26,44.08
Palau,9.8,100,3.4,100,15.66
Palestine,9.8,100,3.4,98.28,15.66
Panama,9.8,96.26,3.4,46.58,21.96
Papua New Guinea,9.8,87.14,1.3,46.58,35.52
Paraguay,9.8,94.86,3.4,24.21,24.16
Peru,9.8,93.66,4.2,49.27,17.39
Philippines,9.8,98.47,3.6,35.09,29.08
Poland,19.2,98.74,4.7,100,10.18
Portugal,23.99,94.48,4.8,98.97,12.35
Puerto Rico,23.99,67.72,6.1,98.97,35.41
Qatar,23.99,97.75,3.2,100,12.17
Romania,20.89,99.16,3.3,100,19.33
Russia,20.89,99.16,4.1,100,19.33
Rwanda,15.5,78.76,4.9,31.78,59.51
Saint Lucia,15.5,78.76,3.7,100,59.51
Samoa,15.5,97.99,6.1,56.65,30.24
San Marino,7.26,99.91,3.4,100,6.93
Saudi Arabia,7.26,97.93,5.1,100,13.81
Senegal,7.26,50.36,6,26.59,36.32
Serbia,37.66,99.34,3.2,26.59,14.29
Singapore,37.66,97.65,2.2,100,14.69
Slovak Republic,37.66,97.65,4.2,100,15.54
Slovenia,13.71,99.52,5.4,100,13.8
Solomon Islands,13.71,76.6,8.3,2.47,25.41
Somalia,13.71,54.12,8.3,2.47,35.52
South Africa,13.71,91.15,6.1,2.47,30.33
South Sudan,13.71,26.83,1.6,100,46.75
Spain,36.17,99.7,4.3,100,13.13
Sudan,36.17,53.52,2,40.46,37.37
Sweden,21.85,92.87,7.6,100,12.23
Switzerland,8.09,92.87,4.9,100,9.93
Syria,8.09,92.87,5.1,7.67,9.93
Tajikistan,11.4,100,5.8,7.67,22.3
Tanzania,11.4,78.21,3.3,7.67,50.63
Thailand,11.4,91.1,2.5,99.9,16.64
Trinidad and Tobago,11.4,96.94,2.9,8.46,17.58
Tunisia,11.4,86.25,6.7,80.42,16.87
Turkey,11.4,86.25,2.6,100,16.87
Turkiye,19.34,97.26,2.6,100,16.98
Uganda,19.34,79.06,2.6,90,42.66
Ukraine,17.79,99.43,5.9,100,12.98
United Arab Emirates,17.79,98.81,3.9,100,24.52
United Kingdom,15.82,98.81,5,100,15.13
United States,12.74,98.81,5.4,100,14.2
Uruguay,12.74,98.91,4.5,100,11.02
Uzbekistan,12.74,100,5.5,94.93,21.51
Vanuatu,12.74,87.96,10.6,94.93,26.57
Venezuela,12.74,97.19,10.6,94.93,25.68
Vietnam,12.74,96.13,2.9,90.84,20.28
Virgin Islands (U.S.),12.74,96.13,2.9,90.84,14.19
West Bank and Gaza,12.74,97.94,2.9,90.84,24.45
Yemen,12.74,87.74,5.5,44.04,23.45
Zambia,12.74,82.04,3.6,5.81,42.06
Zimbabwe,12.74,93.23,2.1,22.55,36.41
